nom,parent,value,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Christian Audio,RB Media,1,Publisher,,,,,,#27574D
Dreamscape,RB Media,1,Publisher,,,,,,#1F483F
Éditions Thélème,RB Media,1,Publisher,,,,,,#3F8F7E
GraphicAudio,RB Media,1,Publisher,,,,,,#2E675B
HighBridge,RB Media,1,Publisher,,,,,,#235046
Howes Audio,RB Media,1,Distributor,,B2B,,,,#3892A5
Kalorama Audio,RB Media,1,Publisher,,,,,,#316F62
RBmedia Verlag,RB Media,1,Publisher,,,,,,#439785
Recorded Books,RB Media,1,Retailer,,DTC,,,,#F7D7D1
Tantor Media,RB Media,1,Publisher,,,,,,#1C4038
W. F. Howes Ltd,RB Media,1,Publisher,,,,,,#357769
WaveSound,RB Media,1,Publisher,,,,,,#387F70
Dipsea,RevenueCat,1,Retailer,,DTC,,,,#EFB4A9
Sonolibro,Saga Egmont,1,Retailer,,DTC,,,,#E78C7B
Everand,Scribd,1,Retailer,,DTC,,,,#E58371
Scribl,Scribliotech,1,Retailer,,DTC,,,,#E37B68
Playster,Softonic International S.A.,1,Retailer,,DTC,,,,#E1735E
Lizhi,Sound Group Inc.,1,Retailer,,DTC,,,,#E06B55
Findaway by Spotify,Spotify Technology S.A.,1,Distributor,,B2B,,,,#21859A
Spotify,Spotify Technology S.A.,1,Retailer,,DTC,,,,#DE624B
Boksy,Stabenfeldt AS,1,Retailer,,DTC,,,,#D1563F
Dreame,STARY,1,Retailer,,DTC,,,,#C6513B
WeHear,STARY,1,Retailer,,DTC,,,,#BB4D38
Audiobooks.Co,Storytel Group,1,Retailer,,DTC,,,,#B04835
Audiobooks.com,Storytel Group,1,Retailer,,DTC,,,,#A54432
AudioLibros,Storytel Group,1,Retailer,,DTC,,,,#9A3F2E
Mofibo,Storytel Group,1,Retailer,,DTC,,,,#8F3B2B
Nextory,Storytel Group,1,Retailer,,DTC,,,,#843628
Storytel,Storytel Group,1,Retailer,,DTC,,,,#6E2D21
Streetlib,"StreetLib USA, Inc.",1,Distributor,,B2B,,,,#14798E
Streetlib Store,"StreetLib USA, Inc.",1,Retailer,,DTC,,,,#63281E
Gardners Audio,The Little Group,1,Distributor,,B2B,,,,#137286
Boomplay,Transsnet Music Limited,1,Retailer,,DTC,,,,#58241A
eStories,TriPlay,1,Retailer,,DTC,,,,#4D1F17
uLibrary,Ulverscroft,1,Retailer,,Institutional,,,,#421B14
Leapfrog,VTech Holdings,1,Retailer,,DTC,,,,#F7D7D1
Biblio,WeDoBooks,1,Retailer,,Institutional,,,Library,#EFB4A9
Bookbites,WeDoBooks,1,Retailer,,Institutional,,,Educational Institutions,#E78C7B
Libreka,WeDoBooks,1,Distributor,,B2B,,,,#126C7F
Publizon,WeDoBooks,1,Distributor,,B2B,,,,#116677
Audioteka,Wirtualna Polska Holding,1,Retailer,,DTC,,,,#E58371
Audioteka Kids,Wirtualna Polska Holding,1,Retailer,,DTC,,,,#E37B68
Tempt,WRomance,1,Retailer,,DTC,,,,#E1735E
YouTube Music,Youtube,1,Retailer,,DTC,,,,#E06B55
Media Source Inc,The Vistria Group,1,Parent,,,,,,
PermaBound,Hertzberg-New Method Inc.,1,Retailer,,Institutional,,,Educational Institutions,
Combitel,CombiTel Group,1,Retailer,,,,,,
BorrowBox,Bolinda,1,Retailer,,B2B,,,Library,
Bookmate,,1,Retailer,,DTC,,Private,,#6E2D21
24Symbols,,1,Retailer,,DTC,,Private,,#843628
3 Leaf Group,,1,Retailer,,Institutional,,Private,,#6E2D21
Access Industries,,1,Parent,,,,Private,,#6B3383
Advent International,,1,Parent,,,,Private,,#63277C
Ahold Delhaize,,1,Parent,,,,Public,,#561B6F
Alexander,,1,Retailer,,DTC,,Private,,#63281E
Alliance Entertainment Holding Corp,,1,Parent,,,,Private,,#521969
Alphabet,,1,Parent,,,,Public,,#4D1863
Amazon,,1,Parent,,,,Private,,#49165E
"American Public Education, Inc.",,1,Parent,,,,Public,,#441558
Anyplay,,1,Retailer,,DTC,,Private,,#58241A
Apple,,1,Parent,,,,Public,,#401452
Arabookverse,,1,Publisher,Distributor,,,Private,,#4FA492
Audiobooks NZ,,1,Retailer,,DTC,,Private,,#4D1F17
Audiobrary,,1,Retailer,,DTC,,Private,,#421B14
Authors A.I,,1,Parent,,,,Private,,#561B6F
Bajalibros,,1,Retailer,,DTC,,Private,,#F7D7D1
