nom,parent,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Kalorama Audio,RB Media,Publisher,,,,,,#316F62
RBmedia Verlag,RB Media,Publisher,,,,,,#439785
Recorded Books,RB Media,Retailer,,DTC,,,,#F7D7D1
Tantor Media,RB Media,Publisher,,,,,,#1C4038
W. F. Howes Ltd,RB Media,Publisher,,,,,,#357769
WaveSound,RB Media,Publisher,,,,,,#387F70
Dipsea,RevenueCat,Retailer,,DTC,,,,#EFB4A9
Sonolibro,Saga Egmont,Retailer,,DTC,,,,#E78C7B
Everand,Scribd,Retailer,,DTC,,,,#E58371
Scribl,Scribliotech,Retailer,,DTC,,,,#E37B68
Playster,Softonic International S.A.,Retailer,,DTC,,,,#E1735E
Lizhi,Sound Group Inc.,Retailer,,DTC,,,,#E06B55
Findaway by Spotify,Spotify Technology S.A.,Distributor,,B2B,,,,#21859A
Spotify,Spotify Technology S.A.,Retailer,,DTC,,,,#DE624B
Boksy,Stabenfeldt AS,Retailer,,DTC,,,,#D1563F
Dreame,STARY,Retailer,,DTC,,,,#C6513B
WeHear,STARY,Retailer,,DTC,,,,#BB4D38
Audiobooks.Co,Storytel Group,Retailer,,DTC,,,,#B04835
Audiobooks.com,Storytel Group,Retailer,,DTC,,,,#A54432
AudioLibros,Storytel Group,Retailer,,DTC,,,,#9A3F2E
Mofibo,Storytel Group,Retailer,,DTC,,,,#8F3B2B
Nextory,Storytel Group,Retailer,,DTC,,,,#843628
Storytel,Storytel Group,Retailer,,DTC,,,,#6E2D21
Streetlib,"StreetLib USA, Inc.",Distributor,,B2B,,,,#14798E
Streetlib Store,"StreetLib USA, Inc.",Retailer,,DTC,,,,#63281E
Gardners Audio,The Little Group,Distributor,,B2B,,,,#137286
Boomplay,Transsnet Music Limited,Retailer,,DTC,,,,#58241A
eStories,TriPlay,Retailer,,DTC,,,,#4D1F17
uLibrary,Ulverscroft,Retailer,,Institutional,,,,#421B14
Leapfrog,VTech Holdings,Retailer,,DTC,,,,#F7D7D1
Biblio,WeDoBooks,Retailer,,Institutional,,,Library,#EFB4A9
Bookbites,WeDoBooks,Retailer,,Institutional,,,Educational Institutions,#E78C7B
Libreka,WeDoBooks,Distributor,,B2B,,,,#126C7F
Publizon,WeDoBooks,Distributor,,B2B,,,,#116677
Audioteka,Wirtualna Polska Holding,Retailer,,DTC,,,,#E58371
Audioteka Kids,Wirtualna Polska Holding,Retailer,,DTC,,,,#E37B68
Tempt,WRomance,Retailer,,DTC,,,,#E1735E
YouTube Music,Youtube,Retailer,,DTC,,,,#E06B55
Media Source Inc,The Vistria Group,Parent,,,,,,
PermaBound,Hertzberg-New Method Inc.,Retailer,,Institutional,,,Educational Institutions,
Combitel,CombiTel Group,Retailer,,,,,,
BorrowBox,Bolinda,Retailer,,B2B,,,Library,
Bookmate,,Retailer,,DTC,,Private,,#6E2D21
24Symbols,,Retailer,,DTC,,Private,,#843628
